#Network: p2p-Gnutella08.snap
#Nodes: 6301	Edges: 20777
#NodeId	Degree	Closeness	Betweennes	EigenVector	NetworkConstraint	ClusteringCoefficient	PageRank	HubScore	AuthorityScore
0	10.000000	0.255207	14046.098148	0.021500	0.104468	0.000000	0.000101	0.031702	0.000000
1	1.000000	0.203325	0.000000	0.000758	1.090000	0.000000	0.000109	0.000000	0.001324
2	6.000000	0.230014	586.900450	0.003866	0.186731	0.000000	0.000171	0.000000	0.006563
3	87.000000	0.290378	195890.933919	0.096961	0.018556	0.008287	0.001421	0.000067	0.161828
4	69.000000	0.284001	118542.397701	0.081182	0.021717	0.018755	0.001548	0.006165	0.108616
5	83.000000	0.290807	111384.833393	0.134625	0.022460	0.048487	0.001831	0.055675	0.143440
6	1.000000	0.203325	0.000000	0.000758	1.090000	0.000000	0.000109	0.000000	0.001324
7	60.000000	0.283591	57309.526490	0.098180	0.027391	0.052542	0.001501	0.029523	0.098807
8	84.000000	0.291264	222711.990832	0.086552	0.018855	0.007172	0.001261	0.000178	0.134286
9	59.000000	0.283387	72748.848928	0.097409	0.026997	0.049094	0.001201	0.049691	0.092153
10	7.000000	0.235035	447.677637	0.009772	0.157608	0.000000	0.000312	0.000000	0.010953
703	15.000000	0.252324	35313.615634	0.004263	0.079262	0.038095	0.000267	0.000017	0.000016
826	4.000000	0.234126	3961.866925	0.003624	0.265088	0.000000	0.000256	0.000000	0.000310
1097	7.000000	0.241469	12894.463318	0.004050	0.152396	0.000000	0.000307	0.000000	0.000126
1287	17.000000	0.260130	56072.194219	0.005279	0.064125	0.000000	0.000282	0.000100	0.000019
1591	12.000000	0.253645	24365.597143	0.004237	0.089778	0.000000	0.000393	0.000000	0.000531
1895	2.000000	0.226767	851.542670	0.003427	0.542841	0.000000	0.000221	0.000001	0.000003
1896	15.000000	0.253441	31232.332654	0.004931	0.080912	0.019048	0.000294	0.000341	0.000576
1897	1.000000	0.225041	0.000000	0.003417	1.011362	0.000000	0.000221	0.000000	0.000003
1898	3.000000	0.229527	1904.189193	0.003510	0.352961	0.000000	0.000242	0.000000	0.000006
1899	2.000000	0.228288	627.527698	0.003459	0.520592	0.000000	0.000234	0.000000	0.000007
144	79.000000	0.290766	103312.000320	0.117405	0.022792	0.033431	0.001313	0.051087	0.141377
258	2.000000	0.228106	484.597613	0.002949	0.518219	0.000000	0.000254	0.000000	0.000265
491	11.000000	0.246971	28307.216405	0.003461	0.097426	0.000000	0.000361	0.000000	0.000858
1021	11.000000	0.244649	26309.944130	0.003610	0.097614	0.000000	0.000372	0.000000	0.000665
1418	2.000000	0.225832	190.271850	0.003076	0.522668	0.000000	0.000244	0.000000	0.000345
1669	13.000000	0.247953	24391.583290	0.005958	0.087150	0.000000	0.000287	0.000090	0.001056
1900	7.000000	0.236190	7191.950231	0.003160	0.154999	0.000000	0.000333	0.000000	0.000273
1901	6.000000	0.239942	9003.609027	0.003324	0.177621	0.000000	0.000290	0.000000	0.000727
1902	1.000000	0.221192	0.000000	0.002861	1.014283	0.000000	0.000232	0.000000	0.000257
1903	11.000000	0.246961	25491.410497	0.003957	0.098565	0.000000	0.000477	0.000000	0.001830
121	54.000000	0.274638	34283.699784	0.072473	0.028867	0.017470	0.001209	0.000000	0.116169
127	95.000000	0.295834	178882.615600	0.133147	0.019249	0.027548	0.001861	0.034315	0.173022
128	50.000000	0.275612	29476.122903	0.070847	0.029892	0.014694	0.001312	0.000000	0.105461
179	80.000000	0.291736	127209.502222	0.106454	0.021811	0.029747	0.001238	0.035958	0.140350
247	70.000000	0.280322	119661.416737	0.081296	0.021859	0.013665	0.001261	0.000031	0.129408
249	90.000000	0.294285	137049.458109	0.137236	0.020786	0.035456	0.002184	0.018657	0.176643
264	91.000000	0.294781	174402.001437	0.120346	0.019534	0.021245	0.001999	0.009216	0.171502
353	80.000000	0.291372	125250.677846	0.130084	0.021809	0.043354	0.001596	0.059374	0.135620
424	92.000000	0.289843	276142.657543	0.089340	0.017407	0.006450	0.001435	0.000015	0.151077
426	19.000000	0.257387	5665.329419	0.027567	0.064438	0.040936	0.000645	0.000000	0.034215
145	90.000000	0.293873	113779.752136	0.139881	0.020881	0.042697	0.002055	0.037730	0.165864
176	75.000000	0.290471	117565.682755	0.103513	0.021323	0.028829	0.001623	0.020802	0.129936
